Designator,Footprint,Quantity,Value,LCSC Part #
"ANAL1, ANAL6, DIG1, DIG2, DIG3, DIG4, DIG5, DIG6, DIG7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,9,Conn_01x02_Male,
"ANAL2, ANAL3, ANAL4, ANAL5, ANAL7, J2",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,6,Conn_01x03_Male,
"C1, C2, C3, C4, C5, C6, C7, C8, C9",1206,9,10U,
D1,0805,1,BLUE,
D2,0805,1,WHITE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Male,
PS1,HLK-10M05,1,HLK-10M05,
R1,0805,1,510R,
R2,0805,1,750R,
U1,SOT-223,1,AZ1117-3.3,
