Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10p,
"C10, C11, C12, C16, C19, C20, C7",1206,7,10U,
"C13, C14, C15, C17, C8",0805,5,0.1U,
"C18, C9",0805,2,10N,
"C3, C4, C5, C6",0603,4,10N,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-523,17,D_TVS,
D18,0805,1,YELLOW,NCD0603R1
D19,0805,1,ORANGE,XL-1608UBC-04
D20,D_SMA_Handsoldering,1,D_Schottky,
"D21, D25",0805,2,BLUE,XL-1608UBC-04
"D22, D24",0805,2,YELLOW,XL-1608UBC-04
D23,0805,1,RED,XL-1608UBC-04
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J11, J12, J24",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,4,Conn_01x06_Male,
"J10, J27, J28, J29, J8",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Male,
"J13, J14, J15, J16, J17, J18, J19, J2, J20, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,10,Conn_01x02_Male,
"J22, J26",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Male,
"J23, J25",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Male,
J3,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,
"J4, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,
"J5, J7",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Male,
"Q1, Q2, Q3, Q4",TSOT-23,4,2N3055,
"R1, R11, R2, R6, R7",0603,5,10K,
R10,0603,1,700R,
"R12, R17, R18, R21, R5",0603,5,1K,
"R13, R14",0603,2,4.7K,
"R15, R20, R4",0603,3,100R,
"R16, R19, R8",0603,3,430R,
R3,0603,1,300R,
R9,0603,1,1000R,
SW1,Button Aliexpress 4x4,1,SW_Push,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TCA9517DR,
U2,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
U3,ESP32-WROOM-32UE,1,ESP32-WROOM-32,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,SOT-23-6,1,TMP100,
Y1,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering,1,Crystal,
